
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2011 08 05 02 25 00 000    4.47    -4.95    -2.13  -399.40    -21.60    -64.10    3.80    105355.0
 2011 08 05 02 26 00 000    4.49    -4.71    -2.48  -399.80    -22.30    -61.00    3.64    103845.0
 2011 08 05 02 27 00 000    4.62    -4.32    -2.91  -401.30    -26.60    -60.40    3.70     89184.0
 2011 08 05 02 28 00 000    4.64    -4.38    -2.44  -402.30    -23.70    -62.60    3.82     92834.0
 2011 08 05 02 29 00 000    4.10    -4.26    -3.54  -403.80    -12.70    -69.00    4.11    113064.0
 2011 08 05 02 30 00 000    4.39    -3.72    -3.67  -401.20    -23.90    -61.30    3.72     95642.0
 2011 08 05 02 31 00 000    4.98    -3.39    -3.29  -401.20    -23.90    -61.30    3.72     95642.0
 2011 08 05 02 32 00 000    4.67    -3.77    -3.10  -401.20    -23.90    -61.30    3.72     95642.0
 2011 08 05 02 33 00 000    4.65    -3.97    -2.85  -407.20    -27.50    -50.10    4.27    136561.0
 2011 08 05 02 34 00 000    4.68    -4.20    -2.51  -407.00    -27.60    -50.50    4.24    134519.0
 2011 08 05 02 35 00 000    4.65    -4.33    -2.55  -402.50    -29.60    -57.80    3.64     96172.0
 2011 08 05 02 36 00 000    4.47    -4.35    -2.82  -404.30    -28.20    -53.80    3.67     97932.0
 2011 08 05 02 37 00 000    4.49    -4.27    -2.63  -406.20    -26.70    -49.50    3.70     99824.0
 2011 08 05 02 38 00 000    4.64    -4.28    -2.41  -407.00    -28.70    -46.50    3.77    114335.0
 2011 08 05 02 39 00 000    4.53    -4.04    -2.60  -406.70    -28.70    -52.60    3.95    113574.0
 2011 08 05 02 40 00 000    4.75    -4.10    -2.49  -407.00    -27.80    -53.20    3.96    108980.0
 2011 08 05 02 41 00 000    4.78    -3.74    -2.83  -407.60    -26.70    -50.90    3.88    103795.0
 2011 08 05 02 42 00 000    4.61    -3.17    -3.18  -410.80    -19.70    -49.60    3.75    110248.0
 2011 08 05 02 43 00 000    4.16    -4.50    -2.30  -410.90    -20.20    -49.20    3.77    110535.0
 2011 08 05 02 44 00 000    4.51    -4.10    -2.20  -414.40    -35.80    -37.20    4.41    118516.0
 2011 08 05 02 45 00 000    4.63    -4.10    -2.08  -412.80    -30.20    -43.00    4.20    110268.0
 2011 08 05 02 46 00 000    4.41    -4.44    -1.94  -412.20    -28.10    -45.20    4.11    107129.0
 2011 08 05 02 47 00 000    4.32    -4.44    -2.11  -412.10    -29.80    -40.60    4.04    102695.0
 2011 08 05 02 48 00 000    4.68    -4.03    -2.00  -412.10    -29.80    -40.60    4.04    102811.0
 2011 08 05 02 49 00 000    4.88    -3.12    -2.64  -411.70    -27.90    -42.10    4.47    131267.0
 2011 08 05 02 50 00 000    4.53    -3.83    -2.27  -410.40    -21.40    -43.10    4.24    113528.0
 2011 08 05 02 51 00 000    4.39    -4.44    -1.91  -410.00    -27.60    -44.60    4.12    101975.0
 2011 08 05 02 52 00 000    4.48    -4.16    -2.23  -408.90    -32.00    -46.00    4.14     92879.0
 2011 08 05 02 53 00 000    4.54    -3.30    -3.15  -408.10    -30.40    -46.40    4.16     88192.0
